 Year  NAO  SST34   T(C)    TSNW(inch)
1932  -0.500 -0.1325  -0.5222  27.9000
1933   0.250 -0.1975  -1.9779  24.6000
1935   0.970 -0.2300  -3.0571  36.3000
1936  -3.890  0.3275  -5.3248  60.9000
1937   0.720  0.2500  -2.4367  21.5000
1938   1.790  0.0700  -2.1019  45.0000
1940  -2.860  0.9800  -3.9154  55.0000
1941  -2.310  1.4100  -3.4382  54.1000
1942  -0.550  0.6950  -2.2198  41.7000
1943   1.480 -1.1525  -4.5128  65.9000
1944   0.610 -0.1925  -2.6948  43.4000
1945   1.640 -0.4400  -2.6271  39.7000
1946   0.270 -0.3650  -1.8482  56.6000
1947  -2.710  0.1700  -3.4758  49.6000
1949   1.870 -0.0675  -1.4820  21.3000
1951  -1.260 -0.8925  -3.3629  35.1000
1952   0.830  0.3725  -2.5309  65.0000
1954   0.130  0.2225  -1.6850  52.2000
1955  -2.520 -0.7325  -3.0869  44.4000
1956  -1.730 -1.1325  -3.7823  61.4000
1957   1.520 -0.2950  -2.5259  49.6000
1958  -1.020  1.3050  -2.9444  47.6000
1960  -1.540 -0.0600  -3.3684  72.5000
1961   1.800 -0.0200  -3.0009  40.1000
1962  -2.380 -0.2475  -4.3692  64.5000
1963  -3.600 -0.2550  -5.7113  72.7000
1964  -2.860  0.5750  -3.2440  51.6000
1965  -2.880 -0.5525  -4.3654  81.5000
1966  -1.690  1.0875  -2.2236  47.5000
1967   1.280 -0.4325  -3.4920  76.5000
1968  -1.040 -0.5850  -2.9758  50.0000
1969  -4.890  0.8525  -3.6764  56.0000
1970  -1.890  0.4925  -4.9572  59.5000
1971  -0.960 -1.2625  -4.2727  71.6000
1972   0.340 -0.4575  -3.6334  62.6000
1973   2.520  1.3900  -1.5671  44.5000
1974   1.230 -1.7550  -3.3671  55.6000
1975   1.630 -0.5100  -2.5723  57.9000
1979  -2.250  0.1150  -5.3836  54.8000
1980   0.560  0.4475  -3.6857  32.3000
1981   2.050 -0.1125  -3.6316  37.0000
1982   0.800  0.0025  -5.1357  61.4000
1983   3.420  2.1975  -0.4124  35.0000
1984   1.600 -0.6625  -5.0490  71.0000
1985  -0.630 -1.0450  -3.0694  62.0000
1986   0.500 -0.5525  -3.8639  62.0000
1987  -0.750  1.1750  -1.3880  48.5000
1988   0.720  0.6250  -3.2995  50.0000
1989   5.080 -1.6300  -3.1634  48.0000
1990   3.960  0.1425  -2.6035  58.5000
1991   1.030  0.3400  -1.9478  33.5000
1992   3.280  1.6150  -1.9494  61.0000
1993   2.670  0.3350  -3.2983  54.4000
1994   3.030  0.0275  -5.3226  51.8000
1995   3.960  0.9500  -1.9236  44.0000
1996  -3.780 -0.6000  -4.9695  63.1000
1997  -0.170 -0.2600  -2.8964  66.0000
1998   0.720  2.1000  -0.1936  51.0000
1999   1.700 -1.3125  -2.0105  48.0000
2000   2.800 -1.5050  -1.0786  34.0000
2001  -1.900 -0.7000  -4.0416  54.0000
2002   0.760 -0.0950  -0.6199  52.5000
2003   0.200  0.9050  -4.3684  39.0000
2004  -0.070  0.1900  -2.8373  31.0000
2005   0.120  0.4800  -3.5556  59.5000
2006  -1.090 -0.7675  -1.7609  67.6000
2007   2.790  0.4450  -2.0223  53.7000
2008   2.100 -1.5325  -3.7359  83.0000
2009  -0.410 -0.8075  -4.2892  72.7000
2010  -4.640  1.4000  -2.3716  48.0000
2011  -1.570 -1.3675  -4.4049  56.0000
2012   3.170 -0.7375   1.1007  21.0000
2013  -1.970 -0.2450  -2.4592  30.0000
2014   3.100 -0.2275  -7.3619  17.1000
2015   3.560  0.6325  -5.4843  43.5000
